epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.34952,0.881054,0.752915,0.737869,0.659759
2,0.052261,0.984359,0.845689,0.7994,0.724515
3,0.021877,0.994324,0.563596,0.838919,0.795
4,0.013743,0.995711,0.563039,0.823412,0.779013
5,0.010834,0.996468,0.820709,0.804402,0.729497
6,0.007697,0.998234,0.67419,0.802901,0.735294
7,0.016889,0.995333,0.506151,0.85993,0.823957
8,0.007968,0.997603,0.531361,0.862931,0.834317
9,0.008579,0.997351,0.529587,0.867434,0.843238
10,0.010671,0.996973,0.60403,0.823412,0.779982
11,0.002918,0.999369,0.745775,0.816908,0.762789
12,0.001336,0.999874,0.810591,0.814407,0.75155
13,0.005736,0.998108,0.829183,0.825413,0.788186
14,0.00249,0.999369,0.5696,0.881941,0.860472
15,0.009259,0.997099,0.50884,0.887444,0.86175
