epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.596927,0.885469,0.878094,0.721361,0.628966
2,0.400209,0.986504,0.828499,0.789895,0.710734
3,0.374451,0.995711,0.760391,0.807404,0.746514
4,0.366537,0.99672,0.755781,0.804902,0.745797
5,0.363271,0.997099,0.723401,0.812406,0.752011
6,0.360266,0.99773,0.730111,0.809405,0.765385
7,0.35832,0.998108,0.727964,0.82091,0.772261
8,0.354898,0.999117,0.727936,0.816908,0.765429
9,0.354752,0.998739,0.615233,0.875938,0.845066
10,0.354832,0.998739,0.648193,0.852926,0.812281
11,0.355191,0.998234,0.805027,0.803402,0.730381
12,0.351903,0.999622,0.728935,0.833417,0.800715
13,0.353692,0.998865,0.707095,0.83942,0.799012
14,0.351227,0.999748,0.669628,0.857429,0.826103
15,0.353307,0.998613,0.708639,0.831916,0.785049
