epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.600573,0.880424,0.861439,0.757379,0.680218
2,0.404979,0.982972,0.839513,0.7999,0.725712
3,0.37777,0.994072,0.841538,0.798899,0.725104
4,0.36795,0.996468,0.794175,0.790395,0.724064
5,0.362456,0.998234,0.797523,0.791396,0.717028
6,0.360353,0.997856,0.895789,0.746873,0.663136
7,0.35928,0.997982,0.779636,0.802401,0.739
8,0.355093,0.999243,0.754483,0.813407,0.751914
9,0.355884,0.998486,0.807009,0.796898,0.73078
10,0.355601,0.997982,0.765392,0.813407,0.761012
11,0.352915,0.999243,0.82908,0.784392,0.7252
12,0.351126,1.0,0.869106,0.765883,0.697467
13,0.354718,0.998486,0.804337,0.787394,0.740355
14,0.353794,0.998865,0.771459,0.806903,0.76138
15,0.352323,0.999243,0.757009,0.814407,0.770074
