epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.555466,0.906029,0.720293,0.801901,0.730831
2,0.384037,0.992936,0.795282,0.757879,0.680213
3,0.368253,0.997351,0.730381,0.792396,0.735713
4,0.360957,0.999117,0.763856,0.802901,0.742658
5,0.357166,0.999243,0.758217,0.813907,0.764422
6,0.356159,0.998991,0.756072,0.7994,0.759074
7,0.355574,0.999117,0.798296,0.792396,0.728336
8,0.352317,0.999874,0.632819,0.854427,0.813964
9,0.352968,0.999243,0.711497,0.823412,0.777801
10,0.35414,0.998739,0.629649,0.856428,0.818093
11,0.351136,1.0,0.726184,0.809905,0.755555
12,0.350392,1.0,0.813977,0.758879,0.72419
13,0.356522,0.997982,0.755679,0.794897,0.738433
14,0.353289,0.999117,0.79521,0.792896,0.716085
15,0.350838,0.999748,0.621912,0.866433,0.836051
