epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.298228,0.90111,0.604081,0.796398,0.73074
2,0.033897,0.991044,0.969074,0.718859,0.638335
3,0.0192,0.995081,0.749997,0.764882,0.70511
4,0.009785,0.996847,0.791378,0.765383,0.699433
5,0.005315,0.998865,1.18856,0.74037,0.682314
6,0.00635,0.99836,0.601414,0.8004,0.755485
7,0.008273,0.997982,1.119093,0.732866,0.668568
8,0.004638,0.998613,0.781508,0.777389,0.708881
9,0.003848,0.998613,1.516423,0.758879,0.667583
10,0.006584,0.99836,1.034771,0.789895,0.721738
11,0.005278,0.998108,0.888705,0.778889,0.731886
12,0.00216,0.999622,0.782275,0.813407,0.771945
13,0.009199,0.99773,0.564276,0.830915,0.77696
14,0.002137,0.999622,0.912988,0.797899,0.742826
15,0.002203,0.999369,1.08706,0.778889,0.712471
