epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.292266,0.902876,0.467598,0.823912,0.77988
2,0.034592,0.990666,0.616583,0.774887,0.712026
3,0.01396,0.996847,0.70603,0.788394,0.726422
4,0.01054,0.997603,0.578489,0.811906,0.768336
5,0.009096,0.997351,0.825856,0.791396,0.739998
6,0.00817,0.997856,0.634463,0.789395,0.745388
7,0.00612,0.997982,0.777885,0.797899,0.745535
8,0.001764,0.999874,0.67579,0.829415,0.774107
9,0.006365,0.997856,0.848442,0.778889,0.722622
10,0.003135,0.999243,0.561248,0.84092,0.800911
11,0.00491,0.998613,0.507877,0.865933,0.822026
12,0.001933,0.999622,0.523519,0.828914,0.803231
13,0.006015,0.998108,1.042504,0.787394,0.704539
14,0.003669,0.999117,1.008731,0.794897,0.705342
15,0.005219,0.998108,0.848422,0.811906,0.751016
