round,train_loss,val_loss,val_acc,val_f1
1,0.310883,0.839874,0.706853,0.499245
2,0.139974,0.867912,0.733867,0.56762
3,0.116835,0.865989,0.735868,0.568086
4,0.095832,0.854907,0.745873,0.576208
5,0.0808,0.838426,0.758379,0.586366
6,0.068676,0.82779,0.761381,0.589469
7,0.063329,0.810561,0.765383,0.594738
8,0.053911,0.803795,0.770385,0.600887
9,0.048949,0.802332,0.770885,0.604222
10,0.049625,0.803653,0.769885,0.607386
11,0.04221,0.803229,0.765883,0.606113
12,0.036017,0.810404,0.75988,0.603125
13,0.034247,0.816384,0.756878,0.604116
14,0.03685,0.816191,0.752876,0.60369
15,0.038569,0.814368,0.753877,0.61122
16,0.031214,0.824147,0.749875,0.6083
17,0.030771,0.829782,0.747374,0.607296
18,0.036014,0.829816,0.743872,0.606845
19,0.029639,0.832331,0.743372,0.607379
20,0.024445,0.836899,0.741871,0.60671
21,0.027439,0.84159,0.73937,0.60689
22,0.022581,0.842192,0.737369,0.606741
23,0.02425,0.844845,0.734867,0.605263
24,0.02515,0.841817,0.733867,0.605317
25,0.020574,0.85083,0.730865,0.602715
26,0.026777,0.857534,0.729865,0.602325
27,0.015777,0.861352,0.728864,0.601483
28,0.025466,0.863668,0.729865,0.602868
29,0.018759,0.863049,0.728864,0.604471
30,0.022605,0.865039,0.728864,0.606134
