round,train_loss,val_loss,val_acc,val_f1
1,0.675099,0.823028,0.695348,0.525171
2,0.496249,0.706508,0.712856,0.60949
3,0.456469,0.672524,0.711356,0.631193
4,0.439151,0.65252,0.721361,0.648896
5,0.428864,0.645009,0.723362,0.658723
6,0.421617,0.641992,0.729365,0.670325
7,0.416041,0.639341,0.735868,0.682091
8,0.411578,0.638378,0.736868,0.684995
9,0.407886,0.636937,0.741371,0.692963
10,0.404733,0.636439,0.745873,0.699681
11,0.401978,0.636063,0.748874,0.704378
12,0.399592,0.635551,0.751376,0.70968
13,0.397488,0.63561,0.755878,0.716048
14,0.395597,0.635561,0.75938,0.722173
15,0.393921,0.636017,0.75988,0.723326
16,0.392388,0.6366,0.76038,0.724969
17,0.39099,0.636543,0.761881,0.727236
18,0.389712,0.636737,0.762381,0.728076
19,0.388521,0.636063,0.764882,0.731138
20,0.387416,0.635871,0.765883,0.732324
21,0.386411,0.634295,0.767384,0.733994
22,0.385466,0.634267,0.767384,0.734142
23,0.384578,0.632913,0.769885,0.737083
24,0.383771,0.632088,0.769385,0.736597
25,0.382993,0.63132,0.770885,0.738267
26,0.382282,0.631337,0.769885,0.737537
27,0.381605,0.630876,0.770385,0.738209
28,0.380978,0.631808,0.769385,0.737242
29,0.3804,0.63201,0.768384,0.736581
30,0.379846,0.632711,0.769385,0.737829
31,0.379321,0.634016,0.769385,0.737967
32,0.378788,0.635551,0.769885,0.738771
33,0.378309,0.637777,0.769885,0.738771
34,0.377854,0.637606,0.769885,0.738909
35,0.377441,0.639925,0.768884,0.738061
36,0.37703,0.639865,0.768884,0.738061
37,0.376664,0.639901,0.768884,0.738061
38,0.376336,0.639765,0.768884,0.738061
39,0.375989,0.639551,0.768384,0.737422
40,0.37573,0.637797,0.769385,0.73875
41,0.375428,0.635585,0.768384,0.737466
42,0.375205,0.632624,0.768884,0.737949
43,0.374902,0.630967,0.769385,0.738313
44,0.374682,0.628488,0.772886,0.74134
45,0.374424,0.626435,0.773887,0.742069
46,0.374156,0.624373,0.776388,0.744254
47,0.373926,0.622059,0.777889,0.745938
48,0.373675,0.620514,0.778389,0.746424
49,0.373469,0.618272,0.778389,0.746118
50,0.37328,0.615959,0.778389,0.746118
51,0.373096,0.613192,0.77939,0.746695
52,0.372904,0.611187,0.78039,0.747544
53,0.372721,0.608473,0.782391,0.749631
54,0.372565,0.607936,0.783392,0.750668
55,0.372423,0.607684,0.783892,0.751259
56,0.372251,0.60797,0.785393,0.752733
57,0.372018,0.608301,0.785393,0.752913
58,0.371851,0.607984,0.786393,0.753769
59,0.37142,0.608502,0.786393,0.753769
60,0.371232,0.606799,0.786893,0.754134
61,0.371142,0.603835,0.789395,0.756087
62,0.371032,0.598681,0.790395,0.75682
63,0.371,0.592069,0.795898,0.76119
64,0.370976,0.584287,0.7994,0.763263
65,0.371533,0.574337,0.802901,0.764995
66,0.371393,0.565914,0.806903,0.768444
67,0.371526,0.556513,0.809405,0.769344
68,0.37185,0.548571,0.813907,0.773289
69,0.371965,0.543838,0.816408,0.776141
70,0.372119,0.541252,0.816908,0.776625
71,0.371757,0.541623,0.816908,0.777976
72,0.371432,0.544576,0.815908,0.779807
73,0.371006,0.550696,0.811906,0.778298
74,0.371042,0.557945,0.809905,0.777913
75,0.37102,0.566168,0.808404,0.777133
76,0.370585,0.571617,0.804902,0.774279
77,0.370363,0.577531,0.802401,0.771892
78,0.370205,0.583881,0.8009,0.770765
79,0.370519,0.590295,0.7994,0.768618
80,0.370483,0.596715,0.8004,0.769236
81,0.370354,0.601629,0.795898,0.763022
82,0.370519,0.606815,0.795898,0.762267
83,0.370833,0.611327,0.791396,0.756817
84,0.370884,0.612686,0.790895,0.75574
85,0.371264,0.613949,0.790395,0.754132
86,0.37147,0.61356,0.789895,0.753274
87,0.371668,0.61219,0.790895,0.754864
