epoch,train_loss,train_acc,val_loss,val_acc,val_f1,is_best
1,0.28802,0.907164,0.736103,0.734367,0.671563,1
2,0.033447,0.991044,1.133378,0.708354,0.65357,0
3,0.018733,0.994828,0.720172,0.803402,0.740707,1
4,0.00783,0.997856,0.754843,0.804402,0.75699,1
5,0.009618,0.997099,0.775527,0.798899,0.740032,0
6,0.002212,0.999622,0.785754,0.8004,0.737489,0
7,0.00362,0.998739,0.634213,0.809905,0.771379,1
8,0.003643,0.999243,0.762876,0.796398,0.74954,0
9,0.001199,0.999874,0.836663,0.801901,0.744049,0
10,0.001436,0.999874,1.021806,0.783892,0.724053,0
