alpha,fold,val_f1,accuracy,macro_precision,macro_recall,macro_f1
0.1,1,0.629547,0.8554982135768162,0.738323460407955,0.7067160501215564,0.6849270444050441
0.1,2,0.7036,0.8312822548630409,0.6225269451378497,0.7008352966585488,0.6593390921389546
0.1,3,0.606474,0.8126240571655419,0.6465456702572782,0.6566700000592588,0.6418565981480523
0.1,4,0.625672,0.8574831282254863,0.6542026735793894,0.7185895209506562,0.6842900124717413
0.1,5,0.681402,0.8535132989281461,0.7711294436181673,0.7087201871064805,0.6974429285378179
0.5,1,0.781667,0.8816990869392616,0.8571085863830061,0.8498939262576768,0.8485845992372262
0.5,2,0.963279,0.9186184994045256,0.8936384899221462,0.9134510046488686,0.8983831629575574
0.5,3,0.779807,0.8110361254466057,0.7961700285661837,0.7546386262165338,0.757320748697542
0.5,4,0.835905,0.9217943628423978,0.8915726327782941,0.9077194788495229,0.8957357820374905
0.5,5,0.855789,0.8765383088527193,0.848586427794162,0.8450234381286219,0.8419964918169214
1.0,1,0.79433,0.8904327113934101,0.8792305430359627,0.8446672169022909,0.8564435973396672
1.0,2,0.914302,0.8944025406907503,0.8710643641014228,0.8641161866125499,0.8662251275986582
1.0,3,0.842017,0.8856689162366018,0.8748513767209012,0.8479302135223118,0.8548148198552784
1.0,4,0.833045,0.92695514092894,0.8999297653323195,0.9167776438085364,0.9072650566973196
1.0,5,0.884483,0.9082969432314411,0.8888979071335329,0.8885463714134297,0.8847412818998434
