alpha,fold,perlakuan,accuracy,macro_precision,macro_recall,macro_f1
1.0,1,asli,0.890433,0.879231,0.844667,0.856444
1.0,1,bawah,0.893212,0.884606,0.841987,0.859127
1.0,1,atas,0.891624,0.880009,0.849222,0.858304
1.0,1,tubuh,0.884081,0.873798,0.83537,0.848605
1.0,2,asli,0.894403,0.871064,0.864116,0.866225
1.0,2,bawah,0.900754,0.892654,0.856016,0.871492
1.0,2,atas,0.901548,0.881891,0.870977,0.871869
1.0,2,tubuh,0.903533,0.891491,0.867548,0.877651
1.0,3,asli,0.885669,0.874851,0.84793,0.854815
1.0,3,bawah,0.836046,0.845358,0.775059,0.782566
1.0,3,atas,0.880905,0.873874,0.840128,0.850783
1.0,3,tubuh,0.850337,0.865879,0.795431,0.803331
1.0,4,asli,0.926955,0.89993,0.916778,0.907265
1.0,4,bawah,0.921794,0.901262,0.900216,0.899893
1.0,4,atas,0.931322,0.902295,0.925375,0.910898
1.0,4,tubuh,0.914649,0.897625,0.886413,0.889624
1.0,5,asli,0.908297,0.888898,0.888546,0.884741
1.0,5,bawah,0.912664,0.900004,0.886876,0.8899
1.0,5,atas,0.910282,0.896013,0.887082,0.886824
1.0,5,tubuh,0.907106,0.890048,0.88383,0.88301
